"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
1,"N","3","M",22,1,0,7.25,"S"
2,"Y","1","F",38,1,0,71.2833,"C"
3,"Y","3","F",26,0,0,7.925,"S"
4,"Y","1","F",35,1,0,53.1,"S"
5,"N","3","M",35,0,0,8.05,"S"
7,"N","1","M",54,0,0,51.8625,"S"
8,"N","3","M",2,3,1,21.075,"S"
9,"Y","3","F",27,0,2,11.1333,"S"
10,"Y","2","F",14,1,0,30.0708,"C"
11,"Y","3","F",4,1,1,16.7,"S"
12,"Y","1","F",58,0,0,26.55,"S"
13,"N","3","M",20,0,0,8.05,"S"
14,"N","3","M",39,1,5,31.275,"S"
15,"N","3","F",14,0,0,7.8542,"S"
16,"Y","2","F",55,0,0,16,"S"
17,"N","3","M",2,4,1,29.125,"Q"
19,"N","3","F",31,1,0,18,"S"
21,"N","2","M",35,0,0,26,"S"
22,"Y","2","M",34,0,0,13,"S"
23,"Y","3","F",15,0,0,8.0292,"Q"
24,"Y","1","M",28,0,0,35.5,"S"
25,"N","3","F",8,3,1,21.075,"S"
26,"Y","3","F",38,1,5,31.3875,"S"
28,"N","1","M",19,3,2,263,"S"
31,"N","1","M",40,0,0,27.7208,"C"
34,"N","2","M",66,0,0,10.5,"S"
35,"N","1","M",28,1,0,82.1708,"C"
36,"N","1","M",42,1,0,52,"S"
38,"N","3","M",21,0,0,8.05,"S"
39,"N","3","F",18,2,0,18,"S"
40,"Y","3","F",14,1,0,11.2417,"C"
41,"N","3","F",40,1,0,9.475,"S"
42,"N","2","F",27,1,0,21,"S"
44,"Y","2","F",3,1,2,41.5792,"C"
45,"Y","3","F",19,0,0,7.8792,"Q"
50,"N","3","F",18,1,0,17.8,"S"
51,"N","3","M",7,4,1,39.6875,"S"
52,"N","3","M",21,0,0,7.8,"S"
53,"Y","1","F",49,1,0,76.7292,"C"
54,"Y","2","F",29,1,0,26,"S"
55,"N","1","M",65,0,1,61.9792,"C"
57,"Y","2","F",21,0,0,10.5,"S"
58,"N","3","M",28.5,0,0,7.2292,"C"
59,"Y","2","F",5,1,2,27.75,"S"
60,"N","3","M",11,5,2,46.9,"S"
61,"N","3","M",22,0,0,7.2292,"C"
62,"Y","1","F",38,0,0,80,""
63,"N","1","M",45,1,0,83.475,"S"
64,"N","3","M",4,3,2,27.9,"S"
67,"Y","2","F",29,0,0,10.5,"S"
68,"N","3","M",19,0,0,8.1583,"S"
69,"Y","3","F",17,4,2,7.925,"S"
70,"N","3","M",26,2,0,8.6625,"S"
71,"N","2","M",32,0,0,10.5,"S"
72,"N","3","F",16,5,2,46.9,"S"
73,"N","2","M",21,0,0,73.5,"S"
74,"N","3","M",26,1,0,14.4542,"C"
75,"Y","3","M",32,0,0,56.4958,"S"
76,"N","3","M",25,0,0,7.65,"S"
79,"Y","2","M",0.83,0,2,29,"S"
80,"Y","3","F",30,0,0,12.475,"S"
81,"N","3","M",22,0,0,9,"S"
82,"Y","3","M",29,0,0,9.5,"S"
84,"N","1","M",28,0,0,47.1,"S"
85,"Y","2","F",17,0,0,10.5,"S"
86,"Y","3","F",33,3,0,15.85,"S"
87,"N","3","M",16,1,3,34.375,"S"
89,"Y","1","F",23,3,2,263,"S"
90,"N","3","M",24,0,0,8.05,"S"
91,"N","3","M",29,0,0,8.05,"S"
92,"N","3","M",20,0,0,7.8542,"S"
93,"N","1","M",46,1,0,61.175,"S"
94,"N","3","M",26,1,2,20.575,"S"
95,"N","3","M",59,0,0,7.25,"S"
97,"N","1","M",71,0,0,34.6542,"C"
98,"Y","1","M",23,0,1,63.3583,"C"
99,"Y","2","F",34,0,1,23,"S"
100,"N","2","M",34,1,0,26,"S"
101,"N","3","F",28,0,0,7.8958,"S"
103,"N","1","M",21,0,1,77.2875,"S"
104,"N","3","M",33,0,0,8.6542,"S"
105,"N","3","M",37,2,0,7.925,"S"
106,"N","3","M",28,0,0,7.8958,"S"
107,"Y","3","F",21,0,0,7.65,"S"
109,"N","3","M",38,0,0,7.8958,"S"
111,"N","1","M",47,0,0,52,"S"
112,"N","3","F",14.5,1,0,14.4542,"C"
113,"N","3","M",22,0,0,8.05,"S"
114,"N","3","F",20,1,0,9.825,"S"
115,"N","3","F",17,0,0,14.4583,"C"
116,"N","3","M",21,0,0,7.925,"S"
117,"N","3","M",70.5,0,0,7.75,"Q"
118,"N","2","M",29,1,0,21,"S"
119,"N","1","M",24,0,1,247.5208,"C"
120,"N","3","F",2,4,2,31.275,"S"
121,"N","2","M",21,2,0,73.5,"S"
123,"N","2","M",32.5,1,0,30.0708,"C"
124,"Y","2","F",32.5,0,0,13,"S"
125,"N","1","M",54,0,1,77.2875,"S"
126,"Y","3","M",12,1,0,11.2417,"C"
128,"Y","3","M",24,0,0,7.1417,"S"
130,"N","3","M",45,0,0,6.975,"S"
131,"N","3","M",33,0,0,7.8958,"C"
132,"N","3","M",20,0,0,7.05,"S"
133,"N","3","F",47,1,0,14.5,"S"
134,"Y","2","F",29,1,0,26,"S"
135,"N","2","M",25,0,0,13,"S"
136,"N","2","M",23,0,0,15.0458,"C"
137,"Y","1","F",19,0,2,26.2833,"S"
138,"N","1","M",37,1,0,53.1,"S"
139,"N","3","M",16,0,0,9.2167,"S"
140,"N","1","M",24,0,0,79.2,"C"
142,"Y","3","F",22,0,0,7.75,"S"
143,"Y","3","F",24,1,0,15.85,"S"
144,"N","3","M",19,0,0,6.75,"Q"
145,"N","2","M",18,0,0,11.5,"S"
146,"N","2","M",19,1,1,36.75,"S"
147,"Y","3","M",27,0,0,7.7958,"S"
148,"N","3","F",9,2,2,34.375,"S"
149,"N","2","M",36.5,0,2,26,"S"
150,"N","2","M",42,0,0,13,"S"
151,"N","2","M",51,0,0,12.525,"S"
152,"Y","1","F",22,1,0,66.6,"S"
153,"N","3","M",55.5,0,0,8.05,"S"
154,"N","3","M",40.5,0,2,14.5,"S"
156,"N","1","M",51,0,1,61.3792,"C"
157,"Y","3","F",16,0,0,7.7333,"Q"
158,"N","3","M",30,0,0,8.05,"S"
161,"N","3","M",44,0,1,16.1,"S"
162,"Y","2","F",40,0,0,15.75,"S"
163,"N","3","M",26,0,0,7.775,"S"
164,"N","3","M",17,0,0,8.6625,"S"
165,"N","3","M",1,4,1,39.6875,"S"
166,"Y","3","M",9,0,2,20.525,"S"
168,"N","3","F",45,1,4,27.9,"S"
170,"N","3","M",28,0,0,56.4958,"S"
171,"N","1","M",61,0,0,33.5,"S"
172,"N","3","M",4,4,1,29.125,"Q"
173,"Y","3","F",1,1,1,11.1333,"S"
174,"N","3","M",21,0,0,7.925,"S"
175,"N","1","M",56,0,0,30.6958,"C"
176,"N","3","M",18,1,1,7.8542,"S"
178,"N","1","F",50,0,0,28.7125,"C"
179,"N","2","M",30,0,0,13,"S"
180,"N","3","M",36,0,0,0,"S"
183,"N","3","M",9,4,2,31.3875,"S"
184,"Y","2","M",1,2,1,39,"S"
185,"Y","3","F",4,0,2,22.025,"S"
188,"Y","1","M",45,0,0,26.55,"S"
189,"N","3","M",40,1,1,15.5,"Q"
190,"N","3","M",36,0,0,7.8958,"S"
191,"Y","2","F",32,0,0,13,"S"
192,"N","2","M",19,0,0,13,"S"
193,"Y","3","F",19,1,0,7.8542,"S"
194,"Y","2","M",3,1,1,26,"S"
195,"Y","1","F",44,0,0,27.7208,"C"
196,"Y","1","F",58,0,0,146.5208,"C"
198,"N","3","M",42,0,1,8.4042,"S"
200,"N","2","F",24,0,0,13,"S"
201,"N","3","M",28,0,0,9.5,"S"
203,"N","3","M",34,0,0,6.4958,"S"
204,"N","3","M",45.5,0,0,7.225,"C"
205,"Y","3","M",18,0,0,8.05,"S"
206,"N","3","F",2,0,1,10.4625,"S"
207,"N","3","M",32,1,0,15.85,"S"
208,"Y","3","M",26,0,0,18.7875,"C"
209,"Y","3","F",16,0,0,7.75,"Q"
210,"Y","1","M",40,0,0,31,"C"
211,"N","3","M",24,0,0,7.05,"S"
212,"Y","2","F",35,0,0,21,"S"
213,"N","3","M",22,0,0,7.25,"S"
214,"N","2","M",30,0,0,13,"S"
216,"Y","1","F",31,1,0,113.275,"C"
217,"Y","3","F",27,0,0,7.925,"S"
218,"N","2","M",42,1,0,27,"S"
219,"Y","1","F",32,0,0,76.2917,"C"
220,"N","2","M",30,0,0,10.5,"S"
221,"Y","3","M",16,0,0,8.05,"S"
222,"N","2","M",27,0,0,13,"S"
223,"N","3","M",51,0,0,8.05,"S"
225,"Y","1","M",38,1,0,90,"S"
226,"N","3","M",22,0,0,9.35,"S"
227,"Y","2","M",19,0,0,10.5,"S"
228,"N","3","M",20.5,0,0,7.25,"S"
229,"N","2","M",18,0,0,13,"S"
231,"Y","1","F",35,1,0,83.475,"S"
232,"N","3","M",29,0,0,7.775,"S"
233,"N","2","M",59,0,0,13.5,"S"
234,"Y","3","F",5,4,2,31.3875,"S"
235,"N","2","M",24,0,0,10.5,"S"
237,"N","2","M",44,1,0,26,"S"
238,"Y","2","F",8,0,2,26.25,"S"
239,"N","2","M",19,0,0,10.5,"S"
240,"N","2","M",33,0,0,12.275,"S"
243,"N","2","M",29,0,0,10.5,"S"
244,"N","3","M",22,0,0,7.125,"S"
245,"N","3","M",30,0,0,7.225,"C"
246,"N","1","M",44,2,0,90,"Q"
247,"N","3","F",25,0,0,7.775,"S"
248,"Y","2","F",24,0,2,14.5,"S"
249,"Y","1","M",37,1,1,52.5542,"S"
250,"N","2","M",54,1,0,26,"S"
252,"N","3","F",29,1,1,10.4625,"S"
253,"N","1","M",62,0,0,26.55,"S"
254,"N","3","M",30,1,0,16.1,"S"
255,"N","3","F",41,0,2,20.2125,"S"
256,"Y","3","F",29,0,2,15.2458,"C"
258,"Y","1","F",30,0,0,86.5,"S"
259,"Y","1","F",35,0,0,512.3292,"C"
260,"Y","2","F",50,0,1,26,"S"
262,"Y","3","M",3,4,2,31.3875,"S"
263,"N","1","M",52,1,1,79.65,"S"
264,"N","1","M",40,0,0,0,"S"
266,"N","2","M",36,0,0,10.5,"S"
267,"N","3","M",16,4,1,39.6875,"S"
268,"Y","3","M",25,1,0,7.775,"S"
269,"Y","1","F",58,0,1,153.4625,"S"
270,"Y","1","F",35,0,0,135.6333,"S"
272,"Y","3","M",25,0,0,0,"S"
273,"Y","2","F",41,0,1,19.5,"S"
274,"N","1","M",37,0,1,29.7,"C"
276,"Y","1","F",63,1,0,77.9583,"S"
277,"N","3","F",45,0,0,7.75,"S"
279,"N","3","M",7,4,1,29.125,"Q"
280,"Y","3","F",35,1,1,20.25,"S"
281,"N","3","M",65,0,0,7.75,"Q"
282,"N","3","M",28,0,0,7.8542,"S"
283,"N","3","M",16,0,0,9.5,"S"
284,"Y","3","M",19,0,0,8.05,"S"
286,"N","3","M",33,0,0,8.6625,"C"
287,"Y","3","M",30,0,0,9.5,"S"
288,"N","3","M",22,0,0,7.8958,"S"
289,"Y","2","M",42,0,0,13,"S"
290,"Y","3","F",22,0,0,7.75,"Q"
291,"Y","1","F",26,0,0,78.85,"S"
292,"Y","1","F",19,1,0,91.0792,"C"
293,"N","2","M",36,0,0,12.875,"C"
294,"N","3","F",24,0,0,8.85,"S"
295,"N","3","M",24,0,0,7.8958,"S"
297,"N","3","M",23.5,0,0,7.2292,"C"
298,"N","1","F",2,1,2,151.55,"S"
300,"Y","1","F",50,0,1,247.5208,"C"
303,"N","3","M",19,0,0,0,"S"
306,"Y","1","M",0.92,1,2,151.55,"S"
308,"Y","1","F",17,1,0,108.9,"C"
309,"N","2","M",30,1,0,24,"C"
310,"Y","1","F",30,0,0,56.9292,"C"
311,"Y","1","F",24,0,0,83.1583,"C"
312,"Y","1","F",18,2,2,262.375,"C"
313,"N","2","F",26,1,1,26,"S"
314,"N","3","M",28,0,0,7.8958,"S"
315,"N","2","M",43,1,1,26.25,"S"
316,"Y","3","F",26,0,0,7.8542,"S"
317,"Y","2","F",24,1,0,26,"S"
318,"N","2","M",54,0,0,14,"S"
319,"Y","1","F",31,0,2,164.8667,"S"
320,"Y","1","F",40,1,1,134.5,"C"
321,"N","3","M",22,0,0,7.25,"S"
322,"N","3","M",27,0,0,7.8958,"S"
323,"Y","2","F",30,0,0,12.35,"Q"
324,"Y","2","F",22,1,1,29,"S"
326,"Y","1","F",36,0,0,135.6333,"C"
327,"N","3","M",61,0,0,6.2375,"S"
328,"Y","2","F",36,0,0,13,"S"
329,"Y","3","F",31,1,1,20.525,"S"
330,"Y","1","F",16,0,1,57.9792,"C"
332,"N","1","M",45.5,0,0,28.5,"S"
333,"N","1","M",38,0,1,153.4625,"S"
334,"N","3","M",16,2,0,18,"S"
337,"N","1","M",29,1,0,66.6,"S"
338,"Y","1","F",41,0,0,134.5,"C"
339,"Y","3","M",45,0,0,8.05,"S"
340,"N","1","M",45,0,0,35.5,"S"
341,"Y","2","M",2,1,1,26,"S"
342,"Y","1","F",24,3,2,263,"S"
343,"N","2","M",28,0,0,13,"S"
344,"N","2","M",25,0,0,13,"S"
345,"N","2","M",36,0,0,13,"S"
346,"Y","2","F",24,0,0,13,"S"
347,"Y","2","F",40,0,0,13,"S"
349,"Y","3","M",3,1,1,15.9,"S"
350,"N","3","M",42,0,0,8.6625,"S"
351,"N","3","M",23,0,0,9.225,"S"
353,"N","3","M",15,1,1,7.2292,"C"
354,"N","3","M",25,1,0,17.8,"S"
356,"N","3","M",28,0,0,9.5,"S"
357,"Y","1","F",22,0,1,55,"S"
358,"N","2","F",38,0,0,13,"S"
361,"N","3","M",40,1,4,27.9,"S"
362,"N","2","M",29,1,0,27.7208,"C"
363,"N","3","F",45,0,1,14.4542,"C"
364,"N","3","M",35,0,0,7.05,"S"
366,"N","3","M",30,0,0,7.25,"S"
367,"Y","1","F",60,1,0,75.25,"C"
370,"Y","1","F",24,0,0,69.3,"C"
371,"Y","1","M",25,1,0,55.4417,"C"
372,"N","3","M",18,1,0,6.4958,"S"
373,"N","3","M",19,0,0,8.05,"S"
374,"N","1","M",22,0,0,135.6333,"C"
375,"N","3","F",3,3,1,21.075,"S"
377,"Y","3","F",22,0,0,7.25,"S"
378,"N","1","M",27,0,2,211.5,"C"
379,"N","3","M",20,0,0,4.0125,"C"
380,"N","3","M",19,0,0,7.775,"S"
381,"Y","1","F",42,0,0,227.525,"C"
382,"Y","3","F",1,0,2,15.7417,"C"
383,"N","3","M",32,0,0,7.925,"S"
384,"Y","1","F",35,1,0,52,"S"
386,"N","2","M",18,0,0,73.5,"S"
387,"N","3","M",1,5,2,46.9,"S"
388,"Y","2","F",36,0,0,13,"S"
390,"Y","2","F",17,0,0,12,"C"
391,"Y","1","M",36,1,2,120,"S"
392,"Y","3","M",21,0,0,7.7958,"S"
393,"N","3","M",28,2,0,7.925,"S"
394,"Y","1","F",23,1,0,113.275,"C"
395,"Y","3","F",24,0,2,16.7,"S"
396,"N","3","M",22,0,0,7.7958,"S"
397,"N","3","F",31,0,0,7.8542,"S"
398,"N","2","M",46,0,0,26,"S"
399,"N","2","M",23,0,0,10.5,"S"
400,"Y","2","F",28,0,0,12.65,"S"
401,"Y","3","M",39,0,0,7.925,"S"
402,"N","3","M",26,0,0,8.05,"S"
403,"N","3","F",21,1,0,9.825,"S"
404,"N","3","M",28,1,0,15.85,"S"
405,"N","3","F",20,0,0,8.6625,"S"
406,"N","2","M",34,1,0,21,"S"
407,"N","3","M",51,0,0,7.75,"S"
408,"Y","2","M",3,1,1,18.75,"S"
409,"N","3","M",21,0,0,7.775,"S"
413,"Y","1","F",33,1,0,90,"Q"
